location,activity,date,change,value,source,roll
Greater London,Retail & recreation,27/02/2020,0,100,Google,99.42857143
Greater London,Grocery & pharmacy,27/02/2020,-1,99,Google,
Greater London,Retail & recreation,28/02/2020,-2,98,Google,99.42857143
Greater London,Grocery & pharmacy,28/02/2020,-1,99,Google,99.42857143
Greater London,Retail & recreation,29/02/2020,-2,98,Google,98.85714286
Greater London,Grocery & pharmacy,29/02/2020,0,100,Google,99.14285714
Greater London,Retail & recreation,01/03/2020,9,109,Google,100.4285714
Greater London,Grocery & pharmacy,01/03/2020,4,104,Google,101
Greater London,Retail & recreation,02/03/2020,2,102,Google,101.4285714
Greater London,Grocery & pharmacy,02/03/2020,6,106,Google,102.5714286
Greater London,Retail & recreation,03/03/2020,-1,99,Google,102.5714286
Greater London,Grocery & pharmacy,03/03/2020,2,102,Google,103.1428571
Greater London,Retail & recreation,04/03/2020,-3,97,Google,102.7142857
Greater London,Grocery & pharmacy,04/03/2020,1,,Google,101.5714286
Greater London,Retail & recreation,05/03/2020,-9,91,Google,99.71428571
Greater London,Grocery & pharmacy,05/03/2020,-5,95,Google,98.71428571
Greater London,Retail & recreation,06/03/2020,1,101,Google,98
Greater London,Grocery & pharmacy,06/03/2020,8,108,Google,99.28571429
Greater London,Retail & recreation,07/03/2020,-2,98,Google,98.71428571
Greater London,Grocery & pharmacy,07/03/2020,3,103,Google,99.57142857
Greater London,Retail & recreation,08/03/2020,-1,99,Google,99.28571429
Greater London,Grocery & pharmacy,08/03/2020,3,103,Google,101
Greater London,Retail & recreation,09/03/2020,-3,97,Google,101.2857143
Greater London,Grocery & pharmacy,09/03/2020,6,106,Google,102
Greater London,Retail & recreation,10/03/2020,-6,94,Google,100
Greater London,Grocery & pharmacy,10/03/2020,7,107,Google,101.2857143
Greater London,Retail & recreation,11/03/2020,-6,94,Google,100
Greater London,Grocery & pharmacy,11/03/2020,8,108,Google,101.2857143
Greater London,Retail & recreation,12/03/2020,-8,92,Google,99.71428571
Greater London,Grocery & pharmacy,12/03/2020,14,114,Google,102.1428571
Greater London,Retail & recreation,13/03/2020,-13,87,Google,99.42857143
